crop_name,adm_id,date,ndvi
maize,US-18-029,20010101,0.34
maize,US-18-155,20010101,0.395
maize,US-18-019,20010101,0.285
maize,US-18-129,20010109,0.265
maize,US-18-147,20010109,0.215
maize,US-18-123,20010109,0.391
maize,US-18-115,20010109,0.372
maize,US-18-173,20010109,0.24
maize,US-18-029,20010109,0.385
maize,US-18-137,20010109,0.466
maize,US-18-043,20010109,0.397
maize,US-18-163,20010109,0.22
maize,US-18-155,20010109,0.388
maize,US-18-047,20010109,0.304
maize,US-18-077,20010109,0.461
maize,US-18-019,20010109,0.337
maize,US-18-025,20010109,0.395
maize,US-18-027,20010117,0.308
maize,US-18-129,20010117,0.363
maize,US-18-147,20010117,0.351
maize,US-18-083,20010117,0.319
maize,US-18-071,20010117,0.32
maize,US-18-051,20010117,0.322
maize,US-18-021,20010117,0.328
maize,US-18-125,20010117,0.352
maize,US-18-101,20010117,0.366
maize,US-18-031,20010117,0.292
maize,US-18-037,20010117,0.358
maize,US-18-041,20010117,0.307
maize,US-18-055,20010117,0.322
maize,US-18-065,20010117,0.238
maize,US-18-109,20010117,0.317
maize,US-18-095,20010117,0.21
maize,US-18-097,20010117,0.318
maize,US-18-119,20010117,0.346
maize,US-18-133,20010117,0.331
maize,US-18-177,20010117,0.294
maize,US-18-059,20010117,0.24
maize,US-18-173,20010117,0.352
maize,US-18-139,20010117,0.26
maize,US-18-105,20010117,0.368
maize,US-18-117,20010117,0.379
maize,US-18-137,20010117,0.289
maize,US-18-005,20010117,0.319
maize,US-18-163,20010117,0.354
maize,US-18-079,20010117,0.336
maize,US-18-093,20010117,0.368
maize,US-18-161,20010117,0.281
maize,US-18-047,20010117,0.314
maize,US-18-057,20010117,0.333
maize,US-18-063,20010117,0.32
maize,US-18-145,20010117,0.272
maize,US-18-135,20010117,0.227
maize,US-18-153,20010117,0.31
maize,US-18-081,20010117,0.283
maize,US-18-013,20010117,0.402
maize,US-18-027,20010125,0.333
maize,US-18-061,20010125,0.381
