crop_name,adm_id,sos,eos
maize,US-18-027,108.218,292.413
maize,US-18-061,105.82,287.225
maize,US-18-103,113.504,302.009
maize,US-18-129,104.052,288.052
maize,US-18-147,105.0,286.674
maize,US-18-009,114.0,301.0
maize,US-18-035,113.259,300.008
maize,US-18-067,113.0,301.0
maize,US-18-083,108.092,292.732
maize,US-18-159,112.938,300.765
maize,US-18-175,107.304,289.18
maize,US-18-071,109.984,292.969
maize,US-18-179,114.409,301.409
maize,US-18-007,113.0,302.0
maize,US-18-051,106.082,290.377
maize,US-18-123,105.008,286.016
maize,US-18-021,110.819,297.407
maize,US-18-125,106.92,290.84
maize,US-18-053,113.122,301.0
maize,US-18-099,114.731,303.0
maize,US-18-101,107.381,290.509
maize,US-18-003,115.631,302.631
maize,US-18-031,111.123,294.713
maize,US-18-037,106.723,289.707
maize,US-18-041,112.089,295.355
maize,US-18-055,110.0,294.749
maize,US-18-065,112.765,299.0
maize,US-18-075,114.47,301.0
maize,US-18-085,114.95,303.431
maize,US-18-091,114.017,303.005
maize,US-18-109,111.0,296.558
maize,US-18-181,113.86,302.517
maize,US-18-095,112.334,299.668
maize,US-18-097,111.161,296.415
maize,US-18-017,113.596,302.18
maize,US-18-115,110.65,291.35
maize,US-18-119,110.748,296.368
maize,US-18-121,112.197,299.796
maize,US-18-133,111.752,298.163
maize,US-18-157,113.638,301.747
maize,US-18-111,113.876,302.963
maize,US-18-143,108.385,289.769
maize,US-18-171,113.0,301.856
maize,US-18-177,112.895,298.207
maize,US-18-059,111.798,298.395
maize,US-18-173,105.0,287.0
maize,US-18-069,114.229,301.978
maize,US-18-073,113.982,302.982
maize,US-18-029,111.026,293.079
maize,US-18-131,114.0,303.0
maize,US-18-139,111.716,295.75
maize,US-18-105,110.384,295.001
maize,US-18-117,107.0,289.169
maize,US-18-137,110.195,292.292
maize,US-18-043,107.008,288.319
maize,US-18-141,114.954,303.017
maize,US-18-149,114.025,303.0
maize,US-18-005,110.38,294.141
maize,US-18-015,113.662,301.662
maize,US-18-163,104.111,287.889
maize,US-18-165,112.636,300.431
maize,US-18-169,113.745,302.49
maize,US-18-001,115.167,301.858
maize,US-18-079,110.0,292.879
maize,US-18-093,109.387,292.488
maize,US-18-155,110.192,291.596
maize,US-18-089,113.967,303.065
maize,US-18-107,113.0,300.203
maize,US-18-161,112.0,295.0
maize,US-18-047,112.0,295.0
maize,US-18-049,114.0,303.0
maize,US-18-057,112.563,299.563
maize,US-18-077,109.235,291.024
maize,US-18-127,114.0,303.0
maize,US-18-019,108.0,288.892
maize,US-18-033,117.538,304.538
maize,US-18-039,115.861,303.862
maize,US-18-045,113.0,301.114
maize,US-18-011,113.0,300.0
maize,US-18-023,113.273,300.932
maize,US-18-063,112.147,298.604
maize,US-18-145,111.0,296.0
maize,US-18-135,113.289,299.021
maize,US-18-153,110.036,295.349
maize,US-18-183,114.623,302.645
maize,US-18-167,111.184,298.184
maize,US-18-025,106.451,288.507
maize,US-18-081,111.0,296.0
maize,US-18-013,110.411,294.234
maize,US-18-087,116.786,304.087
maize,US-18-113,116.637,304.0
maize,US-18-151,117.532,304.553
