crop_name,adm_id,date,fpar
maize,US-18-027,20010101,22.794
maize,US-18-061,20010101,26.772
maize,US-18-103,20010101,12.051
maize,US-18-129,20010101,26.383
maize,US-18-147,20010101,27.052
maize,US-18-009,20010101,10.627
maize,US-18-035,20010101,12.261
maize,US-18-067,20010101,9.607
maize,US-18-083,20010101,22.291
maize,US-18-159,20010101,8.532
maize,US-18-175,20010101,26.845
maize,US-18-071,20010101,24.652
maize,US-18-179,20010101,8.866
maize,US-18-007,20010101,7.743
maize,US-18-051,20010101,24.839
maize,US-18-123,20010101,28.728
maize,US-18-021,20010101,20.645
maize,US-18-125,20010101,26.919
maize,US-18-053,20010101,9.142
maize,US-18-099,20010101,13.565
maize,US-18-101,20010101,28.003
maize,US-18-003,20010101,13.667
maize,US-18-031,20010101,19.078
maize,US-18-037,20010101,30.33
maize,US-18-041,20010101,21.2
maize,US-18-055,20010101,21.977
maize,US-18-065,20010101,13.819
maize,US-18-075,20010101,11.202
maize,US-18-085,20010101,12.715
maize,US-18-091,20010101,11.051
maize,US-18-109,20010101,21.327
maize,US-18-181,20010101,9.497
maize,US-18-095,20010101,12.212
maize,US-18-097,20010101,20.896
maize,US-18-017,20010101,11.591
maize,US-18-115,20010101,27.151
maize,US-18-119,20010101,26.559
maize,US-18-121,20010101,20.22
maize,US-18-133,20010101,19.832
maize,US-18-157,20010101,10.71
maize,US-18-111,20010101,9.559
maize,US-18-143,20010101,27.336
maize,US-18-171,20010101,10.509
maize,US-18-177,20010101,18.48
maize,US-18-059,20010101,15.259
maize,US-18-173,20010101,26.778
maize,US-18-069,20010101,9.722
maize,US-18-073,20010101,9.969
maize,US-18-029,20010101,26.625
maize,US-18-131,20010101,9.985
maize,US-18-139,20010101,16.39
maize,US-18-105,20010101,30.492
maize,US-18-117,20010101,27.527
maize,US-18-137,20010101,21.825
maize,US-18-043,20010101,27.366
maize,US-18-141,20010101,11.335
maize,US-18-149,20010101,9.787
maize,US-18-005,20010101,23.282
maize,US-18-015,20010101,9.5
maize,US-18-163,20010101,22.862
maize,US-18-165,20010101,14.83
maize,US-18-169,20010101,11.798
maize,US-18-001,20010101,11.857
maize,US-18-079,20010101,23.689
maize,US-18-093,20010101,29.66
maize,US-18-155,20010101,28.132
maize,US-18-089,20010101,9.276
maize,US-18-107,20010101,12.233
maize,US-18-161,20010101,18.121
maize,US-18-047,20010101,22.305
maize,US-18-049,20010101,10.924
maize,US-18-057,20010101,12.722
maize,US-18-077,20010101,26.823
maize,US-18-127,20010101,11.245
maize,US-18-019,20010101,30.198
maize,US-18-033,20010101,16.192
maize,US-18-039,20010101,15.116
maize,US-18-045,20010101,13.649
maize,US-18-011,20010101,10.287
maize,US-18-023,20010101,8.502
maize,US-18-063,20010101,16.143
maize,US-18-145,20010101,18.022
maize,US-18-135,20010101,11.431
maize,US-18-153,20010101,22.313
maize,US-18-183,20010101,13.128
maize,US-18-167,20010101,21.881
maize,US-18-025,20010101,30.246
maize,US-18-081,20010101,19.719
maize,US-18-013,20010101,33.034
maize,US-18-087,20010101,15.318
maize,US-18-113,20010101,14.711
maize,US-18-151,20010101,13.875
maize,US-18-027,20010111,22.543
maize,US-18-061,20010111,26.294
maize,US-18-103,20010111,10.859
maize,US-18-129,20010111,26.387
maize,US-18-147,20010111,26.647
maize,US-18-009,20010111,9.911
maize,US-18-035,20010111,11.492
maize,US-18-067,20010111,9.204
maize,US-18-083,20010111,22.174
maize,US-18-159,20010111,8.565
maize,US-18-175,20010111,26.086
maize,US-18-071,20010111,24.121
maize,US-18-179,20010111,8.496
maize,US-18-007,20010111,8.026
maize,US-18-051,20010111,24.751
maize,US-18-123,20010111,28.97
maize,US-18-021,20010111,20.396
maize,US-18-125,20010111,26.635
maize,US-18-053,20010111,8.676
maize,US-18-099,20010111,11.699
maize,US-18-101,20010111,28.022
maize,US-18-003,20010111,12.468
maize,US-18-031,20010111,18.444
maize,US-18-037,20010111,29.953
maize,US-18-041,20010111,19.903
maize,US-18-055,20010111,21.573
maize,US-18-065,20010111,12.929
maize,US-18-075,20010111,10.476
maize,US-18-085,20010111,10.984
maize,US-18-091,20010111,9.614
maize,US-18-109,20010111,21.107
maize,US-18-181,20010111,9.528
maize,US-18-095,20010111,11.603
maize,US-18-097,20010111,20.372
maize,US-18-017,20010111,10.699
maize,US-18-115,20010111,25.421
maize,US-18-119,20010111,26.387
maize,US-18-121,20010111,19.791
maize,US-18-133,20010111,19.206
maize,US-18-157,20010111,10.344
maize,US-18-111,20010111,9.374
maize,US-18-143,20010111,26.531
maize,US-18-171,20010111,10.313
maize,US-18-177,20010111,17.146
maize,US-18-059,20010111,14.572
maize,US-18-173,20010111,26.546
maize,US-18-069,20010111,8.82
maize,US-18-073,20010111,9.638
maize,US-18-029,20010111,24.762
maize,US-18-131,20010111,9.527
maize,US-18-139,20010111,15.594
maize,US-18-105,20010111,29.738
maize,US-18-117,20010111,26.764
maize,US-18-137,20010111,20.67
maize,US-18-043,20010111,26.581
maize,US-18-141,20010111,9.735
maize,US-18-149,20010111,9.199
maize,US-18-005,20010111,23.107
