crop_name,country_code,adm_id,harvest_year,yield,harvest_area,production
grain_maize,US,US-18-007,2010,10.419,52206.3,543560.0
grain_maize,US,US-18-007,2009,11.618,54229.8,630174.0
grain_maize,US,US-18-007,2008,11.744,52772.88,619353.6
grain_maize,US,US-18-007,2007,10.707,57305.52,613140.76
grain_maize,US,US-18-007,2006,10.5,51437.37,539696.66
grain_maize,US,US-18-007,2005,10.425,50668.44,527809.46
grain_maize,US,US-18-007,2004,10.726,49373.4,529343.62
grain_maize,US,US-18-007,2003,10.305,47916.48,493471.2
grain_maize,US,US-18-007,2002,10.054,47673.66,479186.24
grain_maize,US,US-18-007,2001,10.004,47633.19,476349.06
grain_maize,US,US-18-007,2000,8.748,47107.08,411797.5
grain_maize,US,US-18-007,1999,9.407,47916.48,450552.82
grain_maize,US,US-18-007,1998,8.478,48766.35,413265.62
grain_maize,US,US-18-007,1997,8.453,50425.62,425935.14
grain_maize,US,US-18-007,1996,8.666,52408.65,454078.34
grain_maize,US,US-18-007,1995,5.464,46419.09,251863.86
grain_maize,US,US-18-007,1994,10.205,50870.79,518764.52
grain_maize,US,US-18-007,1993,8.258,46297.68,382244.6
grain_maize,US,US-18-007,1992,9.382,50263.74,471390.98
grain_maize,US,US-18-007,1991,4.905,46661.91,228638.1
grain_maize,US,US-18-007,1990,8.83,46540.5,410710.38
grain_maize,US,US-18-073,2010,10.205,64752.0,660273.0
grain_maize,US,US-18-073,2009,10.048,57386.46,577850.0
grain_maize,US,US-18-073,2008,11.43,61514.4,701395.6
grain_maize,US,US-18-073,2007,10.739,64671.06,694273.44
grain_maize,US,US-18-073,2006,9.96,55565.31,552952.92
grain_maize,US,US-18-073,2005,10.029,57710.22,578561.2
grain_maize,US,US-18-073,2004,10.984,54917.79,602808.04
grain_maize,US,US-18-073,2003,7.712,56334.24,434101.24
grain_maize,US,US-18-073,2002,9.232,56496.12,521243.56
grain_maize,US,US-18-073,2001,9.276,57467.4,532594.82
grain_maize,US,US-18-073,2000,9.175,57669.75,528792.44
grain_maize,US,US-18-073,1999,9.106,57750.69,525716.5
grain_maize,US,US-18-073,1998,9.301,58155.39,540583.12
grain_maize,US,US-18-073,1997,8.177,58276.8,476234.76
grain_maize,US,US-18-073,1996,7.85,62323.8,488817.92
grain_maize,US,US-18-073,1995,6.217,58114.92,362442.76
grain_maize,US,US-18-073,1994,9.47,62364.27,590151.22
grain_maize,US,US-18-073,1993,7.605,57669.75,438327.8
grain_maize,US,US-18-073,1992,8.936,61878.63,552777.66
grain_maize,US,US-18-073,1991,4.842,59086.2,285851.6
grain_maize,US,US-18-073,1990,8.139,57345.99,466303.36
grain_maize,US,US-18-089,2010,9.809,25253.28,247548.4
grain_maize,US,US-18-089,2009,10.174,24808.11,251714.0
grain_maize,US,US-18-089,2008,10.362,23917.77,246938.8
grain_maize,US,US-18-089,2007,10.192,26265.03,267543.28
grain_maize,US,US-18-089,2006,10.224,23391.66,239006.38
grain_maize,US,US-18-089,2005,8.541,25415.16,216903.3
grain_maize,US,US-18-089,2004,10.117,24889.05,251698.76
grain_maize,US,US-18-089,2003,8.503,25010.46,212542.12
grain_maize,US,US-18-089,2002,7.197,23755.89,170797.22
grain_maize,US,US-18-089,2001,8.503,25738.92,218658.44
grain_maize,US,US-18-089,2000,8.39,25536.57,214076.28
grain_maize,US,US-18-089,1999,8.434,28814.64,242958.62
